Time,Elevation_deg,dT_m
2024-01-01 03:24:28.870557,0.45,69.8019
2024-01-01 03:24:31.870557,0.45,69.9249
2024-01-01 03:24:38.870557,0.44,70.2961
2024-01-01 03:24:41.870557,0.43,70.4921
2024-01-01 03:24:48.870557,0.41,71.0395
2024-01-01 03:24:51.870557,0.41,71.3141
2024-01-01 05:09:38.870586,6.74,18.0069
2024-01-01 05:09:41.870586,6.91,17.6210
2024-01-01 05:09:48.870586,7.31,16.7741
2024-01-01 05:09:51.870586,7.48,16.4324
2024-01-01 05:09:58.870586,7.88,15.6801
2024-01-01 05:10:01.870586,8.06,15.3757
2024-01-01 05:10:08.870586,8.47,14.7038
2024-01-01 05:10:11.870586,8.65,14.4313
2024-01-01 05:10:18.870586,9.06,13.8281
2024-01-01 05:10:21.870586,9.24,13.5828
2024-01-01 05:10:28.870586,9.66,13.0388
2024-01-01 05:10:31.870586,9.85,12.8170
2024-01-01 05:10:38.870586,10.27,12.3242
2024-01-01 05:10:41.870586,10.46,12.1229
2024-01-01 05:10:48.870586,10.89,11.6747
2024-01-01 05:10:51.870586,11.08,11.4913
2024-01-01 05:10:58.870586,11.52,11.0821
2024-01-01 05:11:01.870586,11.71,10.9143
2024-01-01 05:11:08.870586,12.15,10.5395
2024-01-01 05:11:11.870586,12.35,10.3856
2024-01-01 05:11:18.870586,12.80,10.0412
2024-01-01 05:11:21.870586,12.99,9.8996
2024-01-01 05:11:28.870586,13.45,9.5822
2024-01-01 05:11:31.870586,13.65,9.4515
2024-01-01 05:11:38.870586,14.11,9.1583
2024-01-01 05:11:41.870586,14.31,9.0374
2024-01-01 05:11:48.870586,14.78,8.7658
2024-01-01 05:11:51.870586,14.99,8.6537
2024-01-01 05:11:58.870586,15.46,8.4016
2024-01-01 05:12:01.870586,15.67,8.2974
2024-01-01 05:12:08.870586,16.15,8.0629
2024-01-01 05:12:11.870586,16.36,7.9659
2024-01-01 05:12:18.870586,16.85,7.7473
2024-01-01 05:12:21.870586,17.06,7.6569
2024-01-01 05:12:28.870587,17.55,7.4529
2024-01-01 05:12:31.870587,17.77,7.3684
2024-01-01 05:12:38.870587,18.27,7.1777
2024-01-01 05:12:41.870587,18.48,7.0987
2024-01-01 05:12:48.870587,18.99,6.9202
2024-01-01 05:12:51.870587,19.21,6.8461
2024-01-01 05:12:58.870587,19.72,6.6789
2024-01-01 05:13:01.870587,19.94,6.6095
2024-01-01 05:13:08.870587,20.46,6.4526
